"id","location","gender","age_arange","age_total"
1,강남구,남,from0to4,50
2,강남구,남,from5to9,41
3,강남구,남,from10to14,35
4,강남구,남,from15to19,46
5,강남구,남,from20to24,142
6,강남구,남,from25to29,405
7,강남구,남,from30to34,533
8,강남구,남,from35to39,350
9,강남구,남,from40to44,249
10,강남구,남,from45to49,202
11,강남구,남,from50to54,187
12,강남구,남,from55to59,135
13,강남구,남,from60to64,69
14,강남구,남,from65to69,28
15,강남구,남,from70to74,14
16,강남구,남,from75to79,7
17,강남구,남,upto80,6
18,강남구,여,from0to4,43
19,강남구,여,from5to9,33
20,강남구,여,from10to14,22
21,강남구,여,from15to19,55
22,강남구,여,from20to24,313
23,강남구,여,from25to29,522
24,강남구,여,from30to34,375
25,강남구,여,from35to39,234
26,강남구,여,from40to44,181
27,강남구,여,from45to49,159
28,강남구,여,from50to54,175
29,강남구,여,from55to59,137
30,강남구,여,from60to64,81
31,강남구,여,from65to69,32
32,강남구,여,from70to74,16
33,강남구,여,from75to79,6
34,강남구,여,upto80,5
35,강동구,남,from0to4,53
36,강동구,남,from5to9,48
37,강동구,남,from10to14,15
38,강동구,남,from15to19,20
39,강동구,남,from20to24,71
40,강동구,남,from25to29,233
41,강동구,남,from30to34,264
42,강동구,남,from35to39,194
43,강동구,남,from40to44,182
44,강동구,남,from45to49,242
45,강동구,남,from50to54,238
46,강동구,남,from55to59,240
47,강동구,남,from60to64,84
48,강동구,남,from65to69,22
49,강동구,남,from70to74,11
50,강동구,남,from75to79,2
51,강동구,남,upto80,3
52,강동구,여,from0to4,71
53,강동구,여,from5to9,43
54,강동구,여,from10to14,21
55,강동구,여,from15to19,23
56,강동구,여,from20to24,104
57,강동구,여,from25to29,237
58,강동구,여,from30to34,254
59,강동구,여,from35to39,220
60,강동구,여,from40to44,190
61,강동구,여,from45to49,275
62,강동구,여,from50to54,317
63,강동구,여,from55to59,307
64,강동구,여,from60to64,109
65,강동구,여,from65to69,24
66,강동구,여,from70to74,9
67,강동구,여,from75to79,3
68,강동구,여,upto80,7
69,강북구,남,from0to4,41
70,강북구,남,from5to9,17
71,강북구,남,from10to14,13
72,강북구,남,from15to19,33
73,강북구,남,from20to24,128
74,강북구,남,from25to29,192
75,강북구,남,from30to34,163
76,강북구,남,from35to39,151
77,강북구,남,from40to44,102
78,강북구,남,from45to49,132
79,강북구,남,from50to54,141
80,강북구,남,from55to59,122
81,강북구,남,from60to64,56
82,강북구,남,from65to69,21
83,강북구,남,from70to74,12
84,강북구,남,from75to79,4
85,강북구,남,upto80,6
86,강북구,여,from0to4,40
87,강북구,여,from5to9,34
88,강북구,여,from10to14,16
