"id","location","gender","country","country_total"
1,강남구,남,한국계중국인,294
2,강남구,남,중국,598
3,강남구,남,베트남,68
4,강남구,남,우즈베키스탄,23
5,강남구,남,캄보디아,7
6,강남구,남,필리핀,16
7,강남구,남,인도네시아,3
8,강남구,남,네팔,16
9,강남구,남,태국,33
10,강남구,남,스리랑카,1
11,강남구,남,미국,452
12,강남구,남,미얀마,8
13,강남구,남,일본,259
14,강남구,남,몽골,8
15,강남구,남,(타이완),86
16,강남구,남,방글라데시,5
17,강남구,남,파키스탄,11
18,강남구,남,카자흐스탄,8
19,강남구,남,인도,60
20,강남구,남,러시아(연방),21
21,강남구,남,캐나다,82
22,강남구,남,키르기즈,0
23,강남구,남,영국,60
24,강남구,남,프랑스,78
25,강남구,남,이집트,11
26,강남구,남,우크라이나,3
27,강남구,남,말레이시아,6
28,강남구,남,독일,29
29,강남구,남,나이지리아,1
30,강남구,남,남아프리카공화국,10
31,강남구,남,동티모르,0
32,강남구,남,(홍콩),12
33,강남구,남,오스트레일리아,26
34,강남구,남,시리아,0
35,강남구,남,이란,9
36,강남구,남,가나,0
37,강남구,남,사우디아라비아,22
38,강남구,남,카메룬,0
39,강남구,남,터키,27
40,강남구,남,싱가포르,9
41,강남구,남,뉴질랜드,10
42,강남구,남,에티오피아,0
43,강남구,남,브라질,5
44,강남구,남,노르웨이,1
45,강남구,남,이탈리아,19
46,강남구,남,라오스,0
47,강남구,남,모로코,2
48,강남구,남,우간다,0
49,강남구,남,아일랜드,8
50,강남구,남,한국계러시아인,0
51,강남구,남,스페인,7
52,강남구,남,네덜란드,10
53,강남구,남,멕시코,5
54,강남구,남,예멘,2
55,강남구,남,아랍에미리트연합,8
56,강남구,남,타지키스탄,0
57,강남구,남,스웨덴,6
58,강남구,남,폴란드,1
59,강남구,남,라이베리아,0
60,강남구,남,케냐,0
61,강남구,남,이라크,0
62,강남구,남,요르단,1
63,강남구,남,세네갈,0
64,강남구,남,벨기에,12
65,강남구,남,페루,0
66,강남구,남,수단,0
67,강남구,남,콜롬비아,3
68,강남구,남,아프가니스탄,0
69,강남구,남,스위스,3
70,강남구,남,루마니아,0
71,강남구,남,에콰도르,0
72,강남구,남,리비아,1
73,강남구,남,덴마크,0
74,강남구,남,르완다,0
75,강남구,남,핀란드,6
76,강남구,남,그리스,1
77,강남구,남,벨로루시,1
78,강남구,남,오스트리아,4
79,강남구,남,콩고민주공화국,0
80,강남구,남,탄자니아,1
81,강남구,남,알제리,1
82,강남구,남,기니,0
83,강남구,남,코트디부아르,0
84,강남구,남,말리,0
85,강남구,남,튀니지,1
86,강남구,남,헝가리,2
87,강남구,남,아제르바이잔,0
88,강남구,남,이스라엘,0
89,강남구,남,베네수엘라,1
90,강남구,남,칠레,1
91,강남구,남,불가리아,1
92,강남구,남,체코,2
93,강남구,남,앙골라,0
94,강남구,남,아르헨티나,0
95,강남구,남,포르투갈,0
96,강남구,남,(마카오),1
97,강남구,남,투르크메니스탄,1
98,강남구,남,감비아,0
99,강남구,남,잠비아,0
100,강남구,남,쿠웨이트,1
101,강남구,남,과테말라,0
102,강남구,남,부룬디,0
103,강남구,남,짐바브웨,0
104,강남구,남,크로아티아,0
105,강남구,남,아르메니아,0
106,강남구,남,리투아니아,2
107,강남구,남,파라과이,0
108,강남구,남,브루나이,0
109,강남구,남,세르비아,0
110,강남구,남,볼리비아,0
111,강남구,남,도미니카공화국,0
112,강남구,남,엘살바도르,0
113,강남구,남,오만,0
114,강남구,남,가봉,0
115,강남구,남,코스타리카,1
116,강남구,남,파나마,0
117,강남구,남,슬로바키아,0
118,강남구,남,팔레스타인,0
119,강남구,남,피지,0
120,강남구,남,온두라스,0
121,강남구,남,몰도바,0
122,강남구,남,부르키나파소,0
123,강남구,남,조지아,1
124,강남구,남,슬로베니아,2
125,강남구,남,시에라리온,1
126,강남구,남,자메이카,1
127,강남구,남,모잠비크,0
128,강남구,남,라트비아,0
129,강남구,남,토고,0
130,강남구,남,레바논,0
131,강남구,남,니카라과,0
132,강남구,남,말라위,0
133,강남구,남,우루과이,0
134,강남구,남,마다가스카르,0
135,강남구,남,부탄,0
136,강남구,남,모리셔스,0
137,강남구,남,아이티,0
138,강남구,남,쿠바,0
139,강남구,남,콩고,0
140,강남구,남,남수단공화국,0
141,강남구,남,아이슬란드,0
142,강남구,남,키프로스,0
143,강남구,남,알바니아,0
144,강남구,남,에스토니아,0
145,강남구,남,트리니다드토바고,0
146,강남구,남,베냉,0
147,강남구,남,기니비사우,0
148,강남구,남,차드,0
149,강남구,남,에리트레아,0
150,강남구,남,모리타니,0
151,강남구,남,(영국외지민),0
152,강남구,남,룩셈부르크,0
153,강남구,남,소말리아,0
154,강남구,남,마케도니아,0
155,강남구,남,솔로몬군도,0
156,강남구,남,바레인,0
157,강남구,남,보츠와나,0
158,강남구,남,중앙아프리카공화국,0
159,강남구,남,카타르,0
160,강남구,남,바하마,0
161,강남구,남,바베이도스,0
162,강남구,남,니제르,0
163,강남구,남,세인트크리스토퍼네비스,0
164,강남구,남,벨리즈,0
