"시도","시군구","성별","한국계 중국인","중      국","베  트  남","우즈베키스탄","캄 보 디 아","필  리  핀","인도네시아","네      팔","태      국","스 리 랑 카","미      국","미  얀  마","일      본","몽      골","(타  이  완)","방글라데시","파 키 스 탄","카자흐스탄","인      도","러시아(연방)","캐  나  다","키 르 기 즈","영      국","프  랑  스","이  집  트","우크라이나","말레이시아","독      일","나이지리아","남아프리카 공화국","동 티 모 르","(홍      콩)","오스트레일리아","시  리  아","이      란","가      나","사우디아라비아","카  메  룬","터      키","싱 가 포 르","뉴 질 랜 드","에티오피아","브  라  질","노 르 웨 이","이 탈 리 아","라  오  스","모  로  코","우  간  다","아 일 랜 드","한국계 러시아인","스  페  인","네 덜 란 드","멕  시  코","예     멘","아랍에미리트연합","타지키스탄","스  웨  덴","폴  란  드","라이베리아","케      냐","이  라  크","요  르  단","세  네  갈","벨  기  에","페      루","수      단","콜 롬 비 아","아프가니스탄","스  위  스","루 마 니 아","에 콰 도 르","리  비  아","덴  마  크","르  완  다","핀  란  드","그  리  스","벨 로 루 시","오스트리아","콩고민주공화국","탄 자 니 아","알  제  리","기      니","코트디부아르","말      리","튀  니  지","헝  가  리","아제르바이잔","이 스 라 엘","베네수엘라","칠      레","불 가 리 아","체      코","앙  골  라","아르헨티나","포 르 투 갈","(마  카  오)","투르크메니스탄","감  비  아","잠  비  아","쿠 웨 이 트","과 테 말 라","부  룬  디","짐 바 브 웨","크로아티아","아르메니아","리투아니아","파 라 과 이","브 루 나 이","세르비아","볼 리 비 아","도미니카공화국","엘살바도르","오      만","가      봉","코스타리카","파  나  마","슬로바키아","팔레스타인","피      지","온 두 라 스","몰  도  바","부르키나파소","조 지 아","슬로베니아","시에라리온","자 메 이 카","모 잠 비 크","라 트 비 아","토      고","레  바  논","니 카 라 과","말  라  위","우 루 과 이","마다가스카르","부      탄","모 리 셔 스","아  이  티","쿠      바","콩      고","남수단공화국","아이슬란드","키 프 로 스","알 바 니 아","에스토니아","트리니다드토바고","베      냉","기니비사우","차      드","에리트레아","모 리 타 니","(영국 외지민)","룩셈부르크","소 말 리 아","마케도니아","솔로몬군도","바  레  인","보 츠 와 나","중앙 아프리카 공화국","카  타  르","바  하  마","바베이도스","니  제  르","세인트크리스토퍼 네비스","벨  리  즈","몬테네그로","보스니아-헤르체고비나","파푸아뉴기니","몰      타","코  모  로","가 이 아 나","몰  디  브","레  소  토","수  리  남","코소보","스와질란드","키 리 바 시","통      가","나  우  루","바 누 아 투","세인트루시아","팔  라  우","나 미 비 아","적 도 기 니","도미니카연방","카보베르데","그 레 나 다","기타"
"강원도","강릉시","남","48","192","232","23","30","28","57","46","10","13","23","26","4","8","57","7","5","14","6","16","11","11","6","1","1","2","0","3","0","9","2","1","3","0","0","1","0","0","0","0","3","0","5","0","0","2","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","1","3","1","4","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","강릉시","여","46","222","336","19","31","55","18","10","27","2","23","0","32","10","43","3","0","10","4","25","4","4","2","1","0","7","1","1","0","10","0","0","0","0","2","0","0","0","0","1","3","0","5","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","고성군","남","6","3","132","1","7","0","113","129","0","26","3","6","0","1","0","133","2","0","70","0","2","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","고성군","여","10","13","86","1","4","11","8","36","1","0","4","0","13","1","0","4","0","1","2","0","1","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","동해시","남","27","67","112","9","41","4","79","5","4","23","10","97","2","7","2","0","0","2","0","6","0","2","3","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","동해시","여","23","46","100","5","8","35","1","3","5","0","8","0","8","18","7","0","0","6","0","14","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","삼척시","남","13","61","145","24","15","2","55","26","17","20","6","24","3","13","5","0","0","0","3","1","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","삼척시","여","16","92","147","8","8","25","3","3","1","0","9","0","26","15","8","0","1","0","1","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","속초시","남","37","135","137","3","21","15","126","24","3","3","5","0","0","6","18","3","0","0","0","2","7","0","4","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도","속초시","여","30","47","148","9","15","26","6","9","6","0","8","0","37","7","20","0","0","0","0","5","3","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
