"시도","시군구","성별","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80세이상"
"강원도","강릉시","남","10","11","5","29","199","173","150","120","61","50","41","44","14","11","4","5","4"
"강원도","강릉시","여","11","8","6","41","235","162","126","86","54","66","82","46","22","15","4","2","7"
"강원도","고성군","남","0","0","0","41","321","95","82","53","27","13","3","4","1","0","0","0","1"
"강원도","고성군","여","0","1","0","16","82","22","15","12","13","13","15","8","2","1","1","0","0"
"강원도","동해시","남","5","1","2","3","64","114","107","90","48","31","16","17","7","3","1","1","0"
"강원도","동해시","여","3","2","1","6","33","57","50","26","27","33","28","18","5","2","4","0","1"
"강원도","삼척시","남","4","2","0","6","94","93","83","64","40","19","20","11","9","2","1","0","0"
"강원도","삼척시","여","2","0","3","12","89","70","47","35","11","32","40","22","11","2","1","0","0"
"강원도","속초시","남","2","1","3","3","104","101","104","77","76","43","19","9","7","5","3","0","1"
"강원도","속초시","여","1","4","1","6","85","75","61","30","19","22","37","25","6","6","2","1","1"
"강원도","양구군","남","1","1","0","0","14","26","17","14","6","7","2","6","3","3","0","1","0"
"강원도","양구군","여","0","2","0","0","15","23","26","18","14","21","16","18","6","2","1","0","0"
"강원도","양양군","남","1","0","1","0","16","43","30","27","20","8","1","3","4","2","0","0","0"
"강원도","양양군","여","1","1","1","0","8","32","19","9","16","7","15","9","5","2","1","0","1"
"강원도","영월군","남","0","0","0","1","7","11","12","13","7","10","8","6","2","1","3","0","0"
"강원도","영월군","여","1","0","3","0","21","36","31","22","13","15","20","11","5","1","0","0","0"
"강원도","원주시","남","18","8","10","50","284","360","307","224","133","102","87","70","46","22","12","0","2"
"강원도","원주시","여","19","19","13","64","228","255","221","146","141","140","117","94","41","27","6","6","5"
"강원도","인제군","남","1","0","0","0","40","31","25","10","7","8","11","4","7","2","0","0","0"
"강원도","인제군","여","0","0","0","2","27","32","27","23","10","13","18","16","4","1","0","0","0"
"강원도","정선군","남","1","0","1","1","3","7","15","10","5","8","14","5","4","1","0","0","0"
"강원도","정선군","여","1","1","0","1","18","32","28","17","12","30","15","17","7","0","1","0","1"
"강원도","철원군","남","0","0","0","2","185","123","69","43","17","15","9","8","2","0","1","0","0"
"강원도","철원군","여","0","1","1","1","42","43","50","38","18","19","19","18","6","5","0","1","0"
"강원도","춘천시","남","37","14","11","141","536","351","229","129","74","77","66","45","31","5","7","2","3"
"강원도","춘천시","여","35","17","14","105","584","406","236","112","71","94","107","77","33","16","9","1","3"
"강원도","태백시","남","1","1","0","0","2","14","12","9","5","9","12","4","4","3","2","1","0"
"강원도","태백시","여","1","0","3","1","16","39","34","20","9","16","16","10","6","2","1","0","1"
"강원도","평창군","남","1","3","1","2","28","44","34","28","25","22","28","7","9","1","2","1","0"
"강원도","평창군","여","1","3","1","4","38","41","29","31","19","34","28","17","13","4","1","0","0"
"강원도","홍천군","남","0","1","4","2","102","151","121","57","23","23","28","22","15","3","2","0","1"
"강원도","홍천군","여","1","1","2","3","43","76","58","40","28","42","52","27","9","5","3","0","0"
"강원도","화천군","남","0","0","0","1","18","25","15","17","7","5","5","4","2","0","1","0","0"
"강원도","화천군","여","0","0","0","0","12","31","18","22","7","7","15","13","2","1","1","0","1"
"강원도","횡성군","남","1","0","3","9","73","65","73","40","17","26","23","18","5","4","1","0","0"
"강원도","횡성군","여","2","2","0","4","36","36","41","30","17","32","38","19","11","2","1","2","0"
"경기도","가평군","남","8","10","8","11","49","64","50","35","28","42","56","37","21","11","4","1","1"
"경기도","가평군","여","6","9","13","10","33","72","86","65","50","78","89","58","22","7","2","2","5"
"경기도","고양시 덕양구","남","59","32","13","34","254","422","382","285","195","183","223","185","84","26","9","3","0"
"경기도","고양시 덕양구","여","51","46","26","37","246","332","346","309","234","263","274","239","80","21","8","3","5"
"경기도","고양시 일산동구","남","64","27","15","20","257","475","487","354","192","152","145","112","43","14","9","3","2"
"경기도","고양시 일산동구","여","62","31","14","23","114","267","272","232","154","174","162","138","63","10","4","4","4"
"경기도","고양시 일산서구","남","62","24","16","16","107","204","250","204","143","187","175","142","64","19","14","2","3"
"경기도","고양시 일산서구","여","47","38","12","17","73","189","197","182","146","163","233","209","80","12","6","1","8"
"경기도","과천시","남","3","2","1","0","5","11","9","17","13","10","4","8","4","1","3","0","4"
"경기도","과천시","여","1","3","0","1","11","17","17","12","10","16","7","11","7","2","0","1","0"
"경기도","광명시","남","161","79","17","28","66","266","366","270","253","351","450","367","167","50","7","3","2"
"경기도","광명시","여","140","71","28","21","97","255","364","288","220","374","464","415","156","30","7","3","7"
"경기도","광주시","남","79","61","34","97","1182","2138","1920","1279","625","413","345","276","100","29","12","1","2"
"경기도","광주시","여","95","71","28","81","419","615","580","428","309","344","379","335","97","31","11","5","3"
"경기도","구리시","남","14","12","9","8","61","122","103","67","43","58","48","54","23","13","0","3","0"
"경기도","구리시","여","13","11","6","6","53","130","86","74","74","95","98","90","35","7","1","0","0"
"경기도","군포시","남","172","76","21","35","159","436","570","435","314","394","444","353","143","31","9","4","5"
"경기도","군포시","여","151","87","25","51","138","314","428","313","263","367","473","409","123","29","5","2","4"
"경기도","김포시","남","132","82","38","57","1538","4176","3530","2216","980","573","496","391","141","34","12","8","12"
"경기도","김포시","여","141","61","34","60","258","605","617","430","312","435","461","338","125","32","10","4","1"
"경기도","남양주시","남","39","34","22","33","478","1187","928","597","285","229","194","112","68","22","2","4","4"
"경기도","남양주시","여","33","23","21","25","243","424","454","334","221","234","248","187","72","26","5","5","6"
"경기도","동두천시","남","80","30","23","18","153","281","323","250","223","183","143","69","30","18","3","11","5"
"경기도","동두천시","여","40","23","18","13","100","245","277","197","136","105","88","67","30","5","6","2","0"
"경기도","부천시","남","529","274","132","147","493","1272","1732","1364","930","1128","1221","1163","488","136","34","14","13"
"경기도","부천시","여","514","245","118","170","499","1088","1407","994","798","1129","1345","1310","484","120","24","19","11"
"경기도","성남시 분당구","남","47","44","48","26","60","240","360","260","151","144","104","84","44","14","8","1","2"
"경기도","성남시 분당구","여","50","37","23","30","128","285","289","227","136","96","89","72","37","24","13","3","3"
"경기도","성남시 수정구","남","182","103","47","103","400","498","530","472","434","700","859","615","227","46","12","7","7"
"경기도","성남시 수정구","여","209","102","61","108","464","417","489","360","391","694","910","758","241","40","5","5","2"
"경기도","성남시 중원구","남","47","25","22","11","75","186","206","162","148","197","192","174","70","19","5","1","5"
"경기도","성남시 중원구","여","43","22","14","20","87","213","225","170","159","218","235","211","71","19","4","2","1"
"경기도","수원시 권선구","남","266","111","34","39","159","518","769","579","480","572","655","524","222","48","13","0","8"
"경기도","수원시 권선구","여","255","106","52","44","129","472","656","453","374","547","690","579","187","41","12","6","2"
"경기도","수원시 영통구","남","203","158","48","112","491","621","650","516","318","234","246","162","69","16","4","5","1"
"경기도","수원시 영통구","여","195","133","44","196","512","543","531","345","186","201","231","196","65","26","2","1","2"
"경기도","수원시 장안구","남","165","64","10","124","511","551","476","306","218","288","336","271","123","26","6","2","4"
"경기도","수원시 장안구","여","140","68","24","107","404","421","397","257","185","328","379","294","100","25","10","5","2"
"경기도","수원시 팔달구","남","328","173","68","66","112","703","1010","859","707","1060","1230","967","337","84","25","13","12"
"경기도","수원시 팔달구","여","330","171","71","61","153","555","734","603","564","845","1119","962","323","76","17","8","14"
"경기도","시흥시","남","822","405","140","141","1153","3392","4018","2753","1774","1728","1499","1025","332","58","15","9","9"
"경기도","시흥시","여","750","356","124","136","431","1465","2147","1531","1100","1457","1532","1250","375","63","20","8","13"
"경기도","안산시 단원구","남","825","568","305","234","934","3734","4270","3403","2585","3073","2746","1915","616","124","44","21","17"
"경기도","안산시 단원구","여","861","524","298","236","374","1671","2281","2014","1781","2437","2462","1928","576","144","36","28","20"
"경기도","안산시 상록구","남","328","166","75","92","334","738","869","680","505","483","517","431","155","39","13","7","7"
"경기도","안산시 상록구","여","321","148","76","73","326","592","749","608","491","533","528","532","166","38","11","9","8"
"경기도","안성시","남","127","79","35","89","898","1600","1457","1109","625","378","282","233","69","24","8","1","2"
"경기도","안성시","여","132","77","42","110","395","566","569","396","313","324","333","284","73","19","4","1","2"
"경기도","안양시 동안구","남","30","18","12","7","46","116","152","103","84","99","70","59","29","10","0","0","2"
"경기도","안양시 동안구","여","28","20","9","13","69","162","166","129","90","89","74","62","31","11","1","4","3"
"경기도","안양시 만안구","남","117","46","21","73","122","244","288","283","246","279","364","289","151","22","8","2","3"
"경기도","안양시 만안구","여","104","67","25","70","144","243","273","230","175","311","380","365","137","39","4","4","6"
"경기도","양주시","남","33","31","22","31","610","1503","1274","819","386","323","174","115","30","16","8","6","2"
"경기도","양주시","여","30","30","18","27","154","308","273","221","191","164","135","105","51","23","7","1","0"
"경기도","양평군","남","6","2","1","6","141","212","124","64","45","34","39","22","15","12","1","2","1"
"경기도","양평군","여","5","4","6","10","154","210","128","84","53","60","67","54","18","9","2","1","1"
"경기도","여주시","남","11","7","3","86","443","654","465","215","110","63","76","61","17","4","3","0","1"
"경기도","여주시","여","7","8","6","61","252","284","194","113","77","82","103","74","20","10","2","0","0"
"경기도","연천군","남","0","2","0","12","134","175","134","103","49","30","33","17","17","2","3","2","0"
"경기도","연천군","여","1","2","1","1","28","51","47","35","17","25","23","20","8","2","2","0","0"
"경기도","오산시","남","258","114","39","59","148","510","656","592","388","493","510","387","135","28","3","3","3"
"경기도","오산시","여","228","104","26","53","131","427","640","483","347","476","509","492","146","28","7","2","3"
"경기도","용인시 기흥구","남","68","36","20","55","378","389","300","233","204","211","205","158","67","15","10","3","5"
"경기도","용인시 기흥구","여","65","36","17","88","452","355","312","225","157","195","250","192","81","28","4","2","2"
"경기도","용인시 수지구","남","37","26","12","66","277","166","149","125","95","75","73","72","27","10","3","5","1"
"경기도","용인시 수지구","여","28","21","12","130","415","191","147","143","117","112","112","79","38","10","3","2","1"
"경기도","용인시 처인구","남","98","46","18","67","751","1517","1304","843","447","357","302","230","101","33","10","0","2"
"경기도","용인시 처인구","여","88","47","22","83","373","531","499","307","239","293","328","263","89","33","4","0","3"
"경기도","의왕시","남","12","9","6","5","69","113","99","74","49","53","48","35","20","7","2","1","0"
"경기도","의왕시","여","17","6","4","4","53","95","105","82","56","52","48","43","18","2","2","1","0"
"경기도","의정부시","남","38","34","25","103","266","270","211","207","164","163","173","125","67","34","17","3","6"
"경기도","의정부시","여","53","36","15","48","253","329","320","244","174","219","218","169","79","30","13","5","5"
"경기도","이천시","남","49","30","8","31","544","1256","856","515","295","194","180","137","38","22","3","3","1"
"경기도","이천시","여","37","23","15","16","342","693","441","305","166","215","212","167","59","21","3","2","0"
"경기도","파주시","남","64","36","22","28","1107","1809","1599","1225","665","422","321","184","83","29","11","3","3"
"경기도","파주시","여","55","38","23","25","222","520","542","395","287","320","301","219","82","24","7","3","2"
"경기도","평택시","남","373","206","96","200","957","2351","2531","2004","1159","955","869","661","269","112","61","29","19"
"경기도","평택시","여","412","191","107","211","538","1081","1353","993","679","920","866","773","270","62","14","10","8"
"경기도","포천시","남","31","34","16","73","1414","3014","2311","1308","659","349","224","150","42","21","5","4","4"
"경기도","포천시","여","38","38","17","41","388","576","433","314","240","221","214","146","62","14","8","4","1"
"경기도","하남시","남","9","8","6","4","167","353","315","187","89","60","67","45","22","9","5","0","0"
