"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"강원도","강릉시","남","0","4","126","0","114","0","1","5","3","1","1","104","28","4","0","0","6","43","224","88","13","11","69","23","13","0","50","0"
"강원도","강릉시","여","0","1","151","0","59","1","0","1","0","0","0","0","33","3","0","0","9","17","35","143","22","33","121","309","4","0","31","0"
"강원도","고성군","남","0","0","320","0","24","0","0","0","0","0","5","145","3","0","0","0","0","0","123","11","0","0","2","2","2","0","4","0"
"강원도","고성군","여","0","0","53","0","36","0","0","0","0","0","4","0","7","0","0","0","0","0","9","19","1","0","12","54","2","0","4","0"
"강원도","동해시","남","0","0","3","0","4","0","0","1","1","2","1","110","9","2","0","1","0","8","270","46","3","6","11","9","0","0","23","0"
"강원도","동해시","여","0","0","2","0","7","0","2","0","0","0","0","0","14","0","0","0","5","1","3","64","4","3","37","144","1","0","9","0"
"강원도","삼척시","남","0","2","21","0","46","0","0","0","3","0","4","99","8","0","0","0","0","9","187","37","2","4","13","2","2","0","9","0"
"강원도","삼척시","여","0","1","30","0","47","0","1","0","0","0","2","0","9","0","0","0","1","4","5","56","13","5","44","149","0","0","9","1"
"강원도","속초시","남","0","2","11","0","52","0","0","1","1","0","0","256","9","0","0","0","1","1","131","27","2","0","26","11","3","0","23","1"
"강원도","속초시","여","0","0","9","0","48","0","1","0","0","0","0","0","14","0","0","0","2","1","56","38","5","2","60","127","0","0","18","1"
"강원도","양구군","남","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","64","16","1","0","1","2","0","0","10","0"
"강원도","양구군","여","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","23","19","1","0","42","65","0","0","7","0"
"강원도","양양군","남","0","1","0","0","0","0","0","0","0","0","0","29","7","0","0","0","1","4","94","8","0","0","6","2","0","0","4","0"
